Code,Group
KG060101,Mollusca
KG079999,Mollusca
KG120199,Mollusca
LH019999,Annelida
LO050201,Annelida
LO050202,Annelida
LO050701,Annelida
LO0511A0,Annelida
LO052199,Annelida
LO989999,Annelida
MM0101A0,Acarina
MM020101,Acarina
MM030199,Acarina
MM070199,Acarina
MM120101,Acarina
MM1602A8,Acarina
MM170101,Acarina
MM170302,Acarina
MM230101,Acarina
MM259999,Acarina
MM9999A1,Acarina
MM9999A2,Acarina
MM9999A6,Acarina
OG030212,Cladocera
OG0302B0,Cladocera
OG031201,Cladocera
OG031601,Cladocera
OG031802,Cladocera
OG032501,Cladocera
OG032502,Cladocera
OG033401,Cladocera
OG0334B1,Cladocera
OG034101,Cladocera
OG039999,Cladocera
OG040201,Cladocera
OG040214,Cladocera
OG040504,Cladocera
OG040505,Cladocera
OG040506,Cladocera
OG040507,Cladocera
OG049999,Cladocera
OG060201,Cladocera
OG0602B6,Cladocera
OG0602C5,Cladocera
OG070199,Cladocera
OH0102A2,Ostracoda
OH060101,Ostracoda
OH080101,Ostracoda
OH080311,Ostracoda
OH080399,Ostracoda
OH0803B9,Ostracoda
OH080403,Ostracoda
OH080599,Ostracoda
OH080602,Ostracoda
OH080703,Ostracoda
OH081099,Ostracoda
OH081201,Ostracoda
OH081204,Ostracoda
OH081901,Ostracoda
OH082101,Ostracoda
OH0821A0,Ostracoda
OH082601,Ostracoda
OH090101,Ostracoda
OJ110101,Copepoda
OJ110199,Copepoda
OJ1102A1,Copepoda
OJ3101A4,Copepoda
OJ310301,Copepoda
OJ310701,Copepoda
OJ310703,Copepoda
OJ311001,Copepoda
OJ3111A0,Copepoda
OJ311201,Copepoda
OJ3120A0,Copepoda
OJ3120A2,Copepoda
OJ610302,Copepoda
OJ6103A1,Copepoda
OJ6199A0,Copepoda
OJ6199A4,Copepoda
OJ6401A6,Copepoda
OP020102,Amphipoda
OV010113,Malacostraca
QC060199,Coleoptera
QC090399,Coleoptera
QC090499,Coleoptera
QC091002,Coleoptera
QC091006,Coleoptera
QC091101,Coleoptera
QC091699,Coleoptera
QC091899,Coleoptera
QC092099,Coleoptera
QC092199,Coleoptera
QC092399,Coleoptera
QC092401,Coleoptera
QC092899,Coleoptera
QC092901,Coleoptera
QC093401,Coleoptera
QC110499,Coleoptera
QC111101,Coleoptera
QC111199,Coleoptera
QC111699,Coleoptera
QC130101,Coleoptera
QC209999,Coleoptera
QD019999,Diptera
QD070199,Diptera
QD070502,Diptera
QD070706,Diptera
QD070709,Diptera
QD099999,Diptera
QD0999B1,Diptera
QD129999,Diptera
QD239999,Diptera
QD249999,Diptera
QD369999,Diptera
QD439999,Diptera
QD789999,Diptera
QD899999,Diptera
QDAE0803,Diptera
QDAE0804,Diptera
QDAE11A2,Diptera
QDAE1201,Diptera
QDAF1202,Diptera
QDAF1501,Diptera
QDAF19A0,Diptera
QDAF2801,Diptera
QDAH04B9,Diptera
QDAH04D8,Diptera
QDAI0408,Diptera
QDAI0414,Diptera
QDAI04A0,Diptera
QDAI0603,Diptera
QDAI0611,Diptera
QDAI06A0,Diptera
QDAI06A4,Diptera
QDAI0701,Diptera
QDAI0703,Diptera
QDAI0804,Diptera
QDAI0810,Diptera
QDAI1901,Diptera
QDAI2201,Diptera
QDAI2599,Diptera
QH520199,Hemiptera
QH560199,Hemiptera
QH650199,Hemiptera
QH650204,Hemiptera
QH650206,Hemiptera
QH650301,Hemiptera
QH650302,Hemiptera
QH650303,Hemiptera
QH650502,Hemiptera
QH650503,Hemiptera
QH670401,Hemiptera
QH670402,Hemiptera
QH670403,Hemiptera
QH670405,Hemiptera
QH670426,Hemiptera
QL019999,Lepidoptera
QO020501,Odonata
QO021301,Odonata
QO050101,Odonata
QO050102,Odonata
QO050103,Odonata
QO050105,Odonata
QO120201,Odonata
QO121204,Odonata
QO170701,Odonata
QO171601,Odonata
QO300199,Odonata
QT080499,Trichoptera
QT250504,Trichoptera
QT250799,Trichoptera
QT251103,Trichoptera
